出現形,基幹表現,部位,方言地方,標準病名,ICD-10,エビデンス
おしっこの量が少ないこと,,,-1,乏尿,R34,CS
寡尿,,,-1,乏尿,R34,CS
尿がでないさま,,,-1,乏尿,R34,CS
尿が遠い,,,-1,乏尿,R34,CS
尿が出なくなる,,,-1,乏尿,R34,CS
尿が出にくい,,,-1,乏尿,R34,CS
尿が出にくいこと,,,-1,乏尿,R34,CS
尿が出る量は少ない,,,-1,乏尿,R34,CS
尿が少ない,,,-1,乏尿,R34,CS
尿の排泄量が低下,,,-1,乏尿,R34,CS
尿意を忘れる,,,-1,乏尿,R34,CS
尿量が減少する,,,-1,乏尿,R34,CS
尿量が少ないこと,,,-1,乏尿,R34,CS
尿量の減少,,,-1,乏尿,R34,CS
貧尿,,,-1,乏尿,R34,CS
しもやけ,,,-1,末梢循環不全,R579,CS
ひえしょう,,,-1,末梢循環不全,R579,CS
観戦異常,,,-1,末梢循環不全,R579,CS
手足の先の血の巡りが悪い,,,-1,末梢循環不全,R579,CS
身体の末梢循環が不具合になる,,,-1,末梢循環不全,R579,CS
足などの末梢の血液循環が悪い,,,-1,末梢循環不全,R579,CS
末しょう循環障害,,,-1,末梢循環不全,R579,CS
末梢の周りが悪い,,,-1,末梢循環不全,R579,CS
末梢循環障害,,,-1,末梢循環不全,R579,CS
末端の血の巡りが悪い,,,-1,末梢循環不全,R579,CS
末端冷え性,,,-1,末梢循環不全,R579,CS
冷え症,,,-1,末梢循環不全,R579,CS
いつも咳が出る,,,-1,慢性咳嗽,R05,CS
ずっと咳しとる,,,-1,慢性咳嗽,R05,CS
せきがいつもでる,,,-1,慢性咳嗽,R05,CS
よく咳が出る,,,-1,慢性咳嗽,R05,CS
咳がかんたんに治らない,,,-1,慢性咳嗽,R05,CS
咳が止まらない,,,-1,慢性咳嗽,R05,CS
咳が止まらん,,,-1,慢性咳嗽,R05,CS
咳が常に出る,,,-1,慢性咳嗽,R05,CS
咳が長引く,,,-1,慢性咳嗽,R05,CS
咳が抜けない子と,,,-1,慢性咳嗽,R05,CS
常に咳が出る,,,-1,慢性咳嗽,R05,CS
長い間咳がで続けていること,,,-1,慢性咳嗽,R05,CS
長く続くせき症状,,,-1,慢性咳嗽,R05,CS
長引く咳,,,-1,慢性咳嗽,R05,CS
長引く風邪,,,-1,慢性咳嗽,R05,CS
頻回に咳が出る,,,-1,慢性咳嗽,R05,CS
慢性的な咳,,,-1,慢性咳嗽,R05,CS
かじん,,,-1,味覚異常,R432,CS
においをただしくかんじない,,,-1,味覚異常,R432,CS
ばか,,,-1,味覚異常,R432,CS
味が不自然に感じる,,,-1,味覚異常,R432,CS
味が分からなくなる症状,,,-1,味覚異常,R432,CS
味をおかしく感じる事,,,-1,味覚異常,R432,CS
味を正常に感じない,,,-1,味覚異常,R432,CS
味音痴,,,-1,味覚異常,R432,CS
味覚がおかしい,,,-1,味覚異常,R432,CS
味覚が変,,,-1,味覚異常,R432,CS
味覚バカ,,,-1,味覚異常,R432,CS
あじおんち,,,-1,味覚障害,R432,CS
うめぐねえ,,,-1,味覚障害,R432,CS
たべたとき、あじが、おかしい。,,,-1,味覚障害,R432,CS
何か味が変,,,-1,味覚障害,R432,CS
口がまずい,,,-1,味覚障害,R432,CS
自律神経失調症,,,-1,味覚障害,R432,CS
舌が馬鹿,,,-1,味覚障害,R432,CS
舌音痴,,,-1,味覚障害,R432,CS
舌老化,,,-1,味覚障害,R432,CS
普段より味がおかしくなる,,,-1,味覚障害,R432,CS
味,-1,-1,-1,味覚障害,R432,AEX
味オンチ,,,-1,味覚障害,R432,CS
味がおかしい,,,-1,味覚障害,R432,CS
味がおかしい　,,,-1,味覚障害,R432,CS
味がおかしくなる,,,-1,味覚障害,R432,CS
味がしない,,,-1,味覚障害,R432,CS
味がへん,,,-1,味覚障害,R432,CS
味がよくわからないこと,,,-1,味覚障害,R432,CS
味がよくわからなくなる,,,-1,味覚障害,R432,CS
味がわからん,,,-1,味覚障害,R432,CS
味が正常に感じられない,,,-1,味覚障害,R432,CS
味が分からない,,,-1,味覚障害,R432,CS
味が変に感じる,,,-1,味覚障害,R432,CS
味の感覚がおかしい,,,-1,味覚障害,R432,CS
味覚,-1,-1,-1,味覚障害,R432,AEX
味覚異常,,,-1,味覚障害,R432,CS
味覚音痴,,,-1,味覚障害,R432,CS
味覚機能不全,,,-1,味覚障害,R432,CS
味覚不良,,,-1,味覚障害,R432,CS
味不明,,,-1,味覚障害,R432,CS
SAS,,,-1,無呼吸発作,R068,CS
アプニア,-1,-1,-1,無呼吸発作,R068,AEX
まったく有酸素呼吸をしないこと,,,-1,無呼吸発作,R068,CS
呼吸がない,,,-1,無呼吸発作,R068,CS
呼吸がないこと,,,-1,無呼吸発作,R068,CS
呼吸が止まっている,,,-1,無呼吸発作,R068,CS
呼吸が止まっている状態,,,-1,無呼吸発作,R068,CS
呼吸が止まる,,,-1,無呼吸発作,R068,CS
呼吸が止まる症状,,,-1,無呼吸発作,R068,CS
呼吸していない,,,-1,無呼吸発作,R068,CS
呼吸してない,,,-1,無呼吸発作,R068,CS
呼吸なし,,,-1,無呼吸発作,R068,CS
呼吸をしていない,,,-1,無呼吸発作,R068,CS
呼吸をしていない。,,,-1,無呼吸発作,R068,CS
呼吸をしていない状態,,,-1,無呼吸発作,R068,CS
呼吸をしない,,,-1,無呼吸発作,R068,CS
呼吸停止,,,-1,無呼吸発作,R068,CS
寝てるときに呼吸が止まる,,,-1,無呼吸発作,R068,CS
息がない,,,-1,無呼吸発作,R068,CS
息が止まっている,,,-1,無呼吸発作,R068,CS
息をしてない,,,-1,無呼吸発作,R068,CS
息をしない,,,-1,無呼吸発作,R068,CS
無呼吸,-1,-1,-1,無呼吸発作,R068,AEX
無呼吸症候群,,,-1,無呼吸発作,R068,CS
1日尿量が100mL以下,,,-1,無尿,R34,CS
おしっこがたまらない状態,,,-1,無尿,R34,CS
オシッコがまったく出ない,,,-1,無尿,R34,CS
おしっこが全く出ない,,,-1,無尿,R34,CS
おしっこでない,,,-1,無尿,R34,CS
おしっこ出ない,,,-1,無尿,R34,CS
オシッコ出ない,,,-1,無尿,R34,CS
しっこでねえ,,,-1,無尿,R34,CS
しっこね,,,-1,無尿,R34,CS
むにょう,,,-1,無尿,R34,CS
小便が出ない,,,-1,無尿,R34,CS
腎炎,,,-1,無尿,R34,CS
腎臓疾患,,,-1,無尿,R34,CS
腎不全,,,-1,無尿,R34,CS
尿ができない,,,-1,無尿,R34,CS
尿がでない,,,-1,無尿,R34,CS
尿がない,,,-1,無尿,R34,CS
尿が出ない状態,,,-1,無尿,R34,CS
尿が出なくなる状態,,,-1,無尿,R34,CS
尿なし,,,-1,無尿,R34,CS
尿へい,,,-1,無尿,R34,CS
尿血栓,,,-1,無尿,R34,CS
尿障害,,,-1,無尿,R34,CS
尿停止,,,-1,無尿,R34,CS
尿毒症,,,-1,無尿,R34,CS
尿不全,,,-1,無尿,R34,CS
尿閉,,,-1,無尿,R34,CS
尿量が少ない,,,-1,無尿,R34,CS
尿量減少,,,-1,無尿,R34,CS
排尿困難,,,-1,無尿,R34,CS
頻尿,,,-1,無尿,R34,CS
乏尿,,,-1,無尿,R34,CS
無尿,,,-1,無尿,R34,CS
無尿症,,,-1,無尿,R34,CS
膀胱に尿が送られず,,,-1,無尿,R34,CS
胃壁の部分壊死,,,-1,門脈ガス血症,R932,CS
腸管壊死などの重篤な腹腔内疾患により出現する比較的まれな病態,,,-1,門脈ガス血症,R932,CS
門脈ガスに血が出てる,,,-1,門脈ガス血症,R932,CS
門脈を通る血液中の気体比率の異常,,,-1,門脈ガス血症,R932,CS
門脈気腫,,,-1,門脈ガス血症,R932,CS
門脈気腫症,,,-1,門脈ガス血症,R932,CS
門脈血流省が,,,-1,門脈ガス血症,R932,CS
門脈内にガスが認められる状態,,,-1,門脈ガス血症,R932,CS
おしっこ出過ぎ,,,-1,夜間頻尿症,R35,CS
おねしょ,,,-1,夜間頻尿症,R35,CS
お漏らし,,,-1,夜間頻尿症,R35,CS
トイレが近くて何度も夜に目が覚める,,,-1,夜間頻尿症,R35,CS
トイレちかい,,,-1,夜間頻尿症,R35,CS
トイレに行く回数が多く寝ていても目が覚めてしまう,,,-1,夜間頻尿症,R35,CS
ひんんつおう,,,-1,夜間頻尿症,R35,CS
もれ,,,-1,夜間頻尿症,R35,CS
よかんひんにょう,,,-1,夜間頻尿症,R35,CS
頻尿で眠れない,,,-1,夜間頻尿症,R35,CS
夜おしっこしたくなる,,,-1,夜間頻尿症,R35,CS
夜おしっこ近い,,,-1,夜間頻尿症,R35,CS
夜トイレに行きたくなる,,,-1,夜間頻尿症,R35,CS
夜におしっこ,,,-1,夜間頻尿症,R35,CS
夜に何度もおしっこにいくこと,,,-1,夜間頻尿症,R35,CS
夜に何度も小便がしたくなる,,,-1,夜間頻尿症,R35,CS
夜に何度も尿意がある,,,-1,夜間頻尿症,R35,CS
夜間におしっこが近くなる,,,-1,夜間頻尿症,R35,CS
夜間に尿が多い,,,-1,夜間頻尿症,R35,CS
夜間何度も排尿する,,,-1,夜間頻尿症,R35,CS
夜寝ていてもおしっこが近い,,,-1,夜間頻尿症,R35,CS
夜中にトイレに起きる,,,-1,夜間頻尿症,R35,CS
夜中に何度もトイレに行きたくなること,,,-1,夜間頻尿症,R35,CS
夜中に頻繁にトイレに行きたくなる,,,-1,夜間頻尿症,R35,CS
夜中寝ているときに何度もおしっこしたくなる,,,-1,夜間頻尿症,R35,CS
夜尿症,,,-1,夜間頻尿症,R35,CS
膀胱硬化,,,-1,夜間頻尿症,R35,CS
おうもんきんゆうかいしょう,-1,-1,-1,"薬剤性横紋筋融解症,横紋筋融解症",M6289,AEX
横紋筋融解症,-1,-1,-1,"薬剤性横紋筋融解症,横紋筋融解症",M6289,AEX
やくしん,-1,-1,-1,薬疹,L270,AEX
薬疹,-1,-1,-1,薬疹,L270,AEX
ワクチン,-1,-1,-1,予防接種,Z269,AEX
予防接種,-1,-1,-1,予防接種,Z269,AEX
予防接種の後,-1,-1,-1,予防接種副反応,T881,AEX
予防接種を受けてから,-1,-1,-1,予防接種副反応,T881,AEX
涙が出る,-1,目,-1,流涙,H042,AEX
BHL,,,-1,両側肺門リンパ節腫脹,R590,CS
肺のリンパが腫れる,,,-1,両側肺門リンパ節腫脹,R590,CS
肺のリンパの腫れ,,,-1,両側肺門リンパ節腫脹,R590,CS
病気,,,-1,両側肺門リンパ節腫脹,R590,CS
両はいのりんぱがはれた,,,-1,両側肺門リンパ節腫脹,R590,CS
両側の肺・気管支のリンパ節腫れ,,,-1,両側肺門リンパ節腫脹,R590,CS
両方の肺のリンパが腫れた,,,-1,両側肺門リンパ節腫脹,R590,CS
起き上がる時にめまいがする,-1,-1,-1,良性発作性頭位めまい症,H811,AEX
向きを変える時にめまいがする,-1,-1,-1,良性発作性頭位めまい症,H811,AEX
寝返りを打つ時にめまいがする,-1,-1,-1,良性発作性頭位めまい症,H811,AEX
振り向いた時にめまいがする,-1,-1,-1,良性発作性頭位めまい症,H811,AEX
良性発作性頭位めまい症,-1,-1,-1,良性発作性頭位めまい症,H811,AEX
緑内障,-1,目,-1,緑内障,H409,AEX
アカフケが落ちる,,,-1,鱗屑,R234,CS
カサブタ,,,-1,鱗屑,R234,CS
かわむけ,,,-1,鱗屑,R234,CS
なんだ,,,-1,鱗屑,R234,CS
フケ,,,-1,鱗屑,R234,CS
角質,,,-1,鱗屑,R234,CS
肩が上がらない,,,-1,鱗屑,R234,CS
肩が痛い,,,-1,鱗屑,R234,CS
肩が落ちる,,,-1,鱗屑,R234,CS
肩外れる,,,-1,鱗屑,R234,CS
小さな落石,,,-1,鱗屑,R234,CS
皮膚がはがれる,,,-1,鱗屑,R234,CS
皮膚がボロボロする,,,-1,鱗屑,R234,CS
皮膚が剥がれ落ちる,,,-1,鱗屑,R234,CS
皮膚の表層が大小の角質片となってはげ落ちること,,,-1,鱗屑,R234,CS
落ちる,,,-1,鱗屑,R234,CS
鱗屑,,,-1,鱗屑,R234,CS
COPD,,,-1,労作時呼吸困難,R060,CS
くるしくなった,,,-1,労作時呼吸困難,R060,CS
しごとができないくらいしんどい,,,-1,労作時呼吸困難,R060,CS
ちょっと動くと息が苦しい感じ,,,-1,労作時呼吸困難,R060,CS
なんか知らんけど動くと息がしんどい,,,-1,労作時呼吸困難,R060,CS
ろうどうさぎょうじにいきがくるしくなった,,,-1,労作時呼吸困難,R060,CS
ろうどうちゅうにいきがくるしくなる,,,-1,労作時呼吸困難,R060,CS
運動時の呼吸が難しい,,,-1,労作時呼吸困難,R060,CS
運動時の息切れ,,,-1,労作時呼吸困難,R060,CS
運動中の息切れ,,,-1,労作時呼吸困難,R060,CS
運動喘息,,,-1,労作時呼吸困難,R060,CS
何か動くと呼吸がしんどい,,,-1,労作時呼吸困難,R060,CS
起坐呼吸,,,-1,労作時呼吸困難,R060,CS
緊張呼吸難,,,-1,労作時呼吸困難,R060,CS
呼吸が苦しい,,,-1,労作時呼吸困難,R060,CS
呼吸が苦しくなる,,,-1,労作時呼吸困難,R060,CS
呼吸器疾患,,,-1,労作時呼吸困難,R060,CS
呼吸困難感,,,-1,労作時呼吸困難,R060,CS
呼吸不全,,,-1,労作時呼吸困難,R060,CS
作業時に息が苦しくなる,,,-1,労作時呼吸困難,R060,CS
作業時呼吸困難,,,-1,労作時呼吸困難,R060,CS
作業中に呼吸ができなくなる,,,-1,労作時呼吸困難,R060,CS
仕事時に息苦しい,,,-1,労作時呼吸困難,R060,CS
仕事中の呼吸が苦しい,,,-1,労作時呼吸困難,R060,CS
自分で息できない,,,-1,労作時呼吸困難,R060,CS
息が苦しい,,,-1,労作時呼吸困難,R060,CS
息が切ない,,,-1,労作時呼吸困難,R060,CS
息が続かない,,,-1,労作時呼吸困難,R060,CS
体を動かしている時に息切れする,,,-1,労作時呼吸困難,R060,CS
体を動かすと呼吸が苦しい,,,-1,労作時呼吸困難,R060,CS
体動時の息苦しさ,,,-1,労作時呼吸困難,R060,CS
働いている時に息をするのが出来なくなること,,,-1,労作時呼吸困難,R060,CS
働いている時の呼吸が苦しい,,,-1,労作時呼吸困難,R060,CS
動いたら呼吸がしんどい,,,-1,労作時呼吸困難,R060,CS
動いた時に呼吸がしにくい,,,-1,労作時呼吸困難,R060,CS
動いた時に息をすることが難しい状態,,,-1,労作時呼吸困難,R060,CS
動いた時の呼吸苦,,,-1,労作時呼吸困難,R060,CS
動いた時息が苦しくなる,,,-1,労作時呼吸困難,R060,CS
動いた時息苦しくなる感じ,,,-1,労作時呼吸困難,R060,CS
動くと苦しい,,,-1,労作時呼吸困難,R060,CS
動くと呼吸が苦しい,,,-1,労作時呼吸困難,R060,CS
動くと息ができない,,,-1,労作時呼吸困難,R060,CS
動くと息が苦しくなる感じがする,,,-1,労作時呼吸困難,R060,CS
動くと息が出来ない感じ,,,-1,労作時呼吸困難,R060,CS
動くと息切れがする,,,-1,労作時呼吸困難,R060,CS
動く時に呼吸が出来なくなる,,,-1,労作時呼吸困難,R060,CS
動く時に息切れする,,,-1,労作時呼吸困難,R060,CS
肺部障害,,,-1,労作時呼吸困難,R060,CS
無呼吸,,,-1,労作時呼吸困難,R060,CS
労作時の呼吸 難しい,,,-1,労作時呼吸困難,R060,CS
労作時の息切れ,,,-1,労作時呼吸困難,R060,CS
労作時呼吸苦,,,-1,労作時呼吸困難,R060,CS
労作時呼吸困難,,,-1,労作時呼吸困難,R060,CS
労作性の呼吸困難,,,-1,労作時呼吸困難,R060,CS
労働・作業時に呼吸が苦しい,,,-1,労作時呼吸困難,R060,CS
労働すると呼吸ができない,,,-1,労作時呼吸困難,R060,CS
歳だ,-1,-1,-1,老化,R54,AEX
歳のせい,-1,-1,-1,老化,R54,AEX
歳を取った,-1,-1,-1,老化,R54,AEX
歳を取る,-1,-1,-1,老化,R54,AEX
年だ,-1,-1,-1,老化,R54,AEX
年のせい,-1,-1,-1,老化,R54,AEX
年を取った,-1,-1,-1,老化,R54,AEX
年を取る,-1,-1,-1,老化,R54,AEX
老化,-1,-1,-1,老化,R54,AEX
老人性の難聴,-1,-1,-1,老年性難聴,H911,AEX
あばらが骨折する,-1,肋骨,-1,肋骨骨折,S2230,AEX
あばらが折れる,-1,肋骨,-1,肋骨骨折,S2230,AEX
ろっこつが骨折する,-1,肋骨,-1,肋骨骨折,S2230,AEX
ろっこつが折れる,-1,肋骨,-1,肋骨骨折,S2230,AEX
肋が骨折する,-1,肋骨,-1,肋骨骨折,S2230,AEX
肋が折れる,-1,肋骨,-1,肋骨骨折,S2230,AEX
肋骨が骨折する,-1,肋骨,-1,肋骨骨折,S2230,AEX
肋骨が折れる,-1,肋骨,-1,肋骨骨折,S2230,AEX
あばらが損傷する,-1,肋骨,-1,肋骨損傷,S298,AEX
あばらにひびが入る,-1,肋骨,-1,肋骨損傷,S298,AEX
ろっこつが損傷する,-1,肋骨,-1,肋骨損傷,S298,AEX
ろっこつにひびが入る,-1,肋骨,-1,肋骨損傷,S298,AEX
肋が損傷する,-1,肋骨,-1,肋骨損傷,S298,AEX
肋にひびが入る,-1,肋骨,-1,肋骨損傷,S298,AEX
肋骨が損傷する,-1,肋骨,-1,肋骨損傷,S298,AEX
肋骨にひびが入る,-1,肋骨,-1,肋骨損傷,S298,AEX
こう血,,,-1,喀血,R042,CS
咳と共に血を吐くこと,,,-1,喀血,R042,CS
噛んで血,,,-1,喀血,R042,CS
気道出血,,,-1,喀血,R042,CS
結核,,,-1,喀血,R042,CS
血をはく,,,-1,喀血,R042,CS
口から血を吐く,,,-1,喀血,R042,CS
不明,,,-1,喀血,R042,CS
カーッペて口から出るもの,,,-1,喀痰,R093,CS
かくたん,-1,-1,-1,喀痰,R093,AEX
ゲロ,,,-1,喀痰,R093,CS
タン,,,-1,喀痰,R093,CS
たんがからむ,,,-1,喀痰,R093,CS
たんがでる,,,-1,喀痰,R093,CS
たんじゅうがでる,,,-1,喀痰,R093,CS
たんぺ,,,-1,喀痰,R093,CS
たんをはく,,,-1,喀痰,R093,CS
つば,,,-1,喀痰,R093,CS
のどの奥から出てくる粘りのある液体,,,-1,喀痰,R093,CS
ばい菌を包んだネパッこいもの,,,-1,喀痰,R093,CS
咳から出た痰,,,-1,喀痰,R093,CS
咳と痰がでる,,,-1,喀痰,R093,CS
咳出て痰もでる,,,-1,喀痰,R093,CS
血痰,,,-1,喀痰,R093,CS
喉から出る粘着質,,,-1,喀痰,R093,CS
喉の絡み,,,-1,喀痰,R093,CS
唾,,,-1,喀痰,R093,CS
唾液,,,-1,喀痰,R093,CS
丹,,,-1,喀痰,R093,CS
吐いた痰,,,-1,喀痰,R093,CS
白血球の死骸,,,-1,喀痰,R093,CS
喀痰,-1,-1,-1,喀痰,R093,AEX
痰,-1,-1,-1,喀痰,R093,AEX
痰がからむ,,,-1,喀痰,R093,CS
痰がでる,,,-1,喀痰,R093,CS
痰をはく,,,-1,喀痰,R093,CS
痰をはくこと,,,-1,喀痰,R093,CS
痰を出すこと,,,-1,喀痰,R093,CS
痰を吐く,,,-1,喀痰,R093,CS
wheezing,,,-1,喘鳴,R061,CS
おえつ,,,-1,喘鳴,R061,CS
ごろごろする,,,-1,喘鳴,R061,CS
ぜいぜい,,,-1,喘鳴,R061,CS
ゼイゼイ,,,-1,喘鳴,R061,CS
ゼイゼイした息,,,-1,喘鳴,R061,CS
ゼイゼイしている,,,-1,喘鳴,R061,CS
ぜいぜいする,,,-1,喘鳴,R061,CS
ぜいぜいとした息,,,-1,喘鳴,R061,CS
ぜいぜいと音がする呼吸,,,-1,喘鳴,R061,CS
ぜいぜいと息をする,,,-1,喘鳴,R061,CS
ぜいぜい音をたてて呼吸する,,,-1,喘鳴,R061,CS
ぜいぜい言う,,,-1,喘鳴,R061,CS
ゼエゼエ,,,-1,喘鳴,R061,CS
ぜーぜー,,,-1,喘鳴,R061,CS
ゼーゼー,,,-1,喘鳴,R061,CS
ゼーゼーいう,,,-1,喘鳴,R061,CS
ゼーゼーする,,,-1,喘鳴,R061,CS
ぜーぜーという,,,-1,喘鳴,R061,CS
ぜーぜーと音がする,,,-1,喘鳴,R061,CS
ゼーゼーヒューヒュー音,,,-1,喘鳴,R061,CS
ぜーぜーゆう,,,-1,喘鳴,R061,CS
ゼロゼロする,,,-1,喘鳴,R061,CS
ぜんそく,,,-1,喘鳴,R061,CS
ぜんそくのせき,,,-1,喘鳴,R061,CS
のどが鳴る,,,-1,喘鳴,R061,CS
のどなり,,,-1,喘鳴,R061,CS
ひーひー,,,-1,喘鳴,R061,CS
ヒーヒー,,,-1,喘鳴,R061,CS
ヒューヒューいう,,,-1,喘鳴,R061,CS
ひゅうひゅうという呼吸音,,,-1,喘鳴,R061,CS
ヒュー音,,,-1,喘鳴,R061,CS
咽がズーズー,ズーズー,咽,,喘鳴,R061,Web
気管支ぜんそくの音,,,-1,喘鳴,R061,CS
気管支喘息,,,-1,喘鳴,R061,CS
気道が狭い時に出る音,,,-1,喘鳴,R061,CS
呼吸がゼーゼー,,,-1,喘鳴,R061,CS
呼吸が苦しくゼーゼーしている,,,-1,喘鳴,R061,CS
呼吸する空気が気管を通る時ぜいぜいと雑音を発すること,,,-1,喘鳴,R061,CS
呼吸音がおかしい,,,-1,喘鳴,R061,CS
呼吸雑音,,,-1,喘鳴,R061,CS
呼吸時音が鳴る,,,-1,喘鳴,R061,CS
喉がゴロゴロ,ゴロゴロ,喉,,喘鳴,R061,Web
喉がゼイゼイする,,,-1,喘鳴,R061,CS
喉がヒューヒュ,ヒューヒュー,喉,,喘鳴,R061,Web
喉がヒューヒュ,ヒューヒュー,喉,,喘鳴,R061,Web
息をするとゼイゼイする,,,-1,喘鳴,R061,CS
息をすると喉が鳴る,,,-1,喘鳴,R061,CS
肺濁音,,,-1,喘鳴,R061,CS
鳴き声,,,-1,喘鳴,R061,CS
喘ぎ,,,-1,喘鳴,R061,CS
喘息,,,-1,喘鳴,R061,CS
喘息の人の呼吸,,,-1,喘鳴,R061,CS
喘鳴,,,-1,喘鳴,R061,CS
痰咳,,,-1,喘鳴,R061,CS
におい,-1,-1,-1,"嗅覚障害,嗅覚異常",R431,AEX
臭い,-1,-1,-1,"嗅覚障害,嗅覚異常",R431,AEX
臭覚,-1,-1,-1,"嗅覚障害,嗅覚異常",R431,AEX
匂い,-1,-1,-1,"嗅覚障害,嗅覚異常",R431,AEX
かすれ声,,,-1,嗄声,R490,CS
かすれ声,-1,-1,-1,嗄声,R490,AEX
がらがらごえ,,,-1,嗄声,R490,CS
ささやき,,,-1,嗄声,R490,CS
しゃがれ声,-1,-1,-1,嗄声,R490,AEX
しわがれごえ,,,-1,嗄声,R490,CS
しわがれた声,,,-1,嗄声,R490,CS
しわがれ声,,,-1,嗄声,R490,CS
異常な声,,,-1,嗄声,R490,CS
声,,,-1,嗄声,R490,CS
声がうまく出ない,,,-1,嗄声,R490,CS
声がおかしい,,,-1,嗄声,R490,CS
声がかすれる,,,-1,嗄声,R490,CS
声がかすれる,-1,-1,-1,嗄声,R490,AEX
声ががらがら,-1,-1,-1,嗄声,R490,AEX
声がガラガラ,-1,-1,-1,嗄声,R490,AEX
声がかれる,,,-1,嗄声,R490,CS
声が枯れる,,,-1,嗄声,R490,CS
声が出にくい,,,-1,嗄声,R490,CS
声が嗄れる,,,-1,嗄声,R490,CS
声枯,,,-1,嗄声,R490,CS
声枯れ,,,-1,嗄声,R490,CS
嗄声,,,-1,嗄声,R490,CS
えずく,,,-1,嘔気,R11,CS
おうけ,,,-1,嘔気,R11,CS
おうとするじょうたい,,,-1,嘔気,R11,CS
おえりそう,,,-1,嘔気,R11,CS
きもい,,,-1,嘔気,R11,CS
きもちが悪い,,,-1,嘔気,R11,CS
げろ,,,-1,嘔気,R11,CS
ゲロが出そう,,,-1,嘔気,R11,CS
げろっぱ,,,-1,嘔気,R11,CS
こころわるい,,,-1,嘔気,R11,CS
はき,,,-1,嘔気,R11,CS
はき気,,,-1,嘔気,R11,CS
はく,,,-1,嘔気,R11,CS
バランス失調,,,-1,嘔気,R11,CS
むかつく,,,-1,嘔気,R11,CS
ムカムカ,,,-1,嘔気,R11,CS
ムカムカして気持ち悪い,,,-1,嘔気,R11,CS
もどしそう,,,-1,嘔気,R11,CS
もどす,,,-1,嘔気,R11,CS
モドス,,,-1,嘔気,R11,CS
悪寒,,,-1,嘔気,R11,CS
悪心,,,-1,嘔気,R11,CS
胸のムカツキによって胃の中の物が出そうになること,,,-1,嘔気,R11,CS
呼気,,,-1,嘔気,R11,CS
呼吸,,,-1,嘔気,R11,CS
口から吐きたくなる状態,,,-1,嘔気,R11,CS
食物や水分を口から出してしまう,,,-1,嘔気,R11,CS
息,,,-1,嘔気,R11,CS
大腸異常,,,-1,嘔気,R11,CS
吐きけ,-1,-1,-1,嘔気,R11,AEX
吐きそう,,,-1,嘔気,R11,CS
吐きそう,-1,-1,-1,嘔気,R11,AEX
吐きそうだ,,,-1,嘔気,R11,CS
吐きっぽい,,,-1,嘔気,R11,CS
吐き気,-1,-1,-1,嘔気,R11,AEX
吐き気がある,,,-1,嘔気,R11,CS
吐気,-1,-1,-1,嘔気,R11,AEX
吐息,,,-1,嘔気,R11,CS
戻しそう,-1,-1,-1,嘔気,R11,AEX
嗚咽,,,-1,嘔気,R11,CS
嘔気,,,-1,嘔気,R11,CS
嘔気,-1,-1,-1,嘔気,R11,AEX
嘔吐,,,-1,嘔気,R11,CS
嘔吐したくなる,,,-1,嘔気,R11,CS
あんし,,,-1,"嘔気,嘔吐症",R11,CS
えづいて吐く,,,-1,"嘔気,嘔吐症",R11,CS
ゲロゲロ,,,-1,"嘔気,嘔吐症",R11,CS
はきけ,,,-1,"嘔気,嘔吐症",R11,CS
はきけがする,,,-1,"嘔気,嘔吐症",R11,CS
むかついて吐く,,,-1,"嘔気,嘔吐症",R11,CS
咳払い,,,-1,"嘔気,嘔吐症",R11,CS
気持ち悪い,,,-1,"嘔気,嘔吐症",R11,CS
気持ち悪くて吐く,,,-1,"嘔気,嘔吐症",R11,CS
胸がむかむかし吐きたい気持ちまたは吐く行為,,,-1,"嘔気,嘔吐症",R11,CS
知らない,,,-1,"嘔気,嘔吐症",R11,CS
吐き気から吐く,,,-1,"嘔気,嘔吐症",R11,CS
吐き気または嘔吐,,,-1,"嘔気,嘔吐症",R11,CS
吐き気吐く,,,-1,"嘔気,嘔吐症",R11,CS
吐く,,,-1,"嘔気,嘔吐症",R11,CS
吐気,,,-1,"嘔気,嘔吐症",R11,CS
嘔吐感,,,-1,"嘔気,嘔吐症",R11,CS
あげる,,,-1,嘔吐症,R11,CS
えー,,,-1,嘔吐症,R11,CS
おうと,-1,-1,-1,嘔吐症,R11,AEX
おえる,,,-1,嘔吐症,R11,CS
げー,,,-1,嘔吐症,R11,CS
げぼ,,,-1,嘔吐症,R11,CS
ゲボ,,,-1,嘔吐症,R11,CS
げぼる,,,-1,嘔吐症,R11,CS
ゲボをはいた,,,-1,嘔吐症,R11,CS
ゲロが出る,,,-1,嘔吐症,R11,CS
げろはいだ,,,-1,嘔吐症,R11,CS
ゲロる,,,-1,嘔吐症,R11,CS
ゲロを吐く,,,-1,嘔吐症,R11,CS
はいた,,,-1,嘔吐症,R11,CS
リバース,,,-1,嘔吐症,R11,CS
胃の中のものをもどす,,,-1,嘔吐症,R11,CS
胃の中のものを吐いてもどすこと,,,-1,嘔吐症,R11,CS
胃の中の消化物を吐くこと,,,-1,嘔吐症,R11,CS
下痢,,,-1,嘔吐症,R11,CS
吐い,-1,-1,-1,嘔吐症,R11,AEX
吐いた,,,-1,嘔吐症,R11,CS
吐き,-1,-1,-1,嘔吐症,R11,AEX
吐き気がする,,,-1,嘔吐症,R11,CS
吐き戻し,,,-1,嘔吐症,R11,CS
